duns,field,value
744794881,Physical Address,"SUITE 4 LEVEL 5 255 GEORGE STREET, SYDNEY, 2000, NSW, Australia"
744794881,DUNS,744794881
744794881,ACN,619843926
744794881,ABN,20619843926
744794881,Company Type,Private
744794881,Line of Business,PROVIDES SPRING WATER SOURCING AND TRANSPORTATION SERVICES; HOLDING COMPANY
744794881,Primary SIC,4941 - Water Supply
744794881,Import/Export,Neither
744794881,Registered Name,BLACK MOUNT HOLDINGS PTY LIMITED
744794881,Postal Address,"SUITE 4 LEVEL 5 255 GEORGE STREET, SYDNEY, 2000, NSW, Australia"
744794881,ASIC Status,Registered
744794881,ASIC Company Type,Australian proprietary company
744794881,ASIC Company Class,Limited by shares
744794881,ASIC Company Sub-Class,Proprietary company
