duns,field,value
753982326,Physical Address,"10 Oxford Rd, Laverton North, 3026, VIC, Australia"
753982326,Phone,03 93606400
753982326,URL,ebmpapst.com.au
753982326,DUNS,753982326
753982326,ACN,115927556
753982326,ABN,33115927556
753982326,Company Type,Private
753982326,Line of Business,Industrial and Commercial Fans and Blowers and Air Purification Equipment
753982326,Primary SIC,3564 - Industrial and Commercial Fans and Blowers and Air Purification Equipment
753982326,Import/Export,Import
753982326,Registered Name,EBM-PAPST A&NZ PTY LTD
753982326,Trading As,ebm-papst Australia Pty Ltd
753982326,Postal Address,"5060, Sunshine, 3020, VIC, Australia"
753982326,ASIC Status,Registered
753982326,ASIC Company Type,Australian proprietary company
753982326,ASIC Company Class,Limited by shares
753982326,ASIC Company Sub-Class,Proprietary company
