duns,line_item,year,value
755301637,Revenue from continuing operations ($000s),2024,"$38,446"
755301637,Revenue from continuing operations ($000s),2023,"$38,508"
755301637,Revenue from continuing operations ($000s),2022,"$13,925"
755301637,Revenue from continuing operations ($000s),2021,$474
755301637,Revenue from continuing operations ($000s),2020,"$7,707"
755301637,Revenue from continuing operations ($000s),2019,"$46,678"
755301637,Revenue from continuing operations ($000s),2018,"$50,352"
755301637,Revenue from continuing operations ($000s),2017,"$44,860"
755301637,Revenue from continuing operations ($000s),2016,"$32,228"
755301637,Revenue from continuing operations ($000s),2015,"$28,506"
755301637,Growth,2024,(0.16%)
755301637,Growth,2023,176.54%
755301637,Growth,2022,"2,837.76%"
755301637,Growth,2021,(93.85%)
755301637,Growth,2020,(83.49%)
755301637,Growth,2019,(7.30%)
755301637,Growth,2018,12.24%
755301637,Growth,2017,39.20%
755301637,Growth,2016,13.06%
755301637,Growth,2015,-
755301637,Cost of sales ($000s),2024,"($31,781)"
755301637,Cost of sales ($000s),2023,"($32,238)"
755301637,Cost of sales ($000s),2022,"($12,093)"
755301637,Cost of sales ($000s),2021,($405)
755301637,Cost of sales ($000s),2020,"($6,624)"
755301637,Cost of sales ($000s),2019,"($40,596)"
755301637,Cost of sales ($000s),2018,"($43,927)"
755301637,Cost of sales ($000s),2017,"($39,462)"
755301637,Cost of sales ($000s),2016,"($28,434)"
755301637,Cost of sales ($000s),2015,"($24,014)"
755301637,Gross profit ($000s),2024,"$6,665"
755301637,Gross profit ($000s),2023,"$6,270"
755301637,Gross profit ($000s),2022,"$1,832"
755301637,Gross profit ($000s),2021,$70
755301637,Gross profit ($000s),2020,"$1,082"
755301637,Gross profit ($000s),2019,"$6,081"
755301637,Gross profit ($000s),2018,"$6,425"
755301637,Gross profit ($000s),2017,"$5,397"
755301637,Gross profit ($000s),2016,"$3,794"
755301637,Gross profit ($000s),2015,"$4,493"
755301637,Other income ($000s),2024,$571
755301637,Other income ($000s),2023,$552
755301637,Other income ($000s),2022,$571
755301637,Other income ($000s),2021,$676
755301637,Other income ($000s),2020,"$2,012"
755301637,Other income ($000s),2019,$911
755301637,Other income ($000s),2018,"$1,019"
755301637,Other income ($000s),2017,"$1,303"
755301637,Other income ($000s),2016,$958
755301637,Other income ($000s),2015,"$1,016"
755301637,Administrative expenses ($000s),2024,-
755301637,Administrative expenses ($000s),2023,-
755301637,Administrative expenses ($000s),2022,-
755301637,Administrative expenses ($000s),2021,-
755301637,Administrative expenses ($000s),2020,-
755301637,Administrative expenses ($000s),2019,"($1,523)"
755301637,Administrative expenses ($000s),2018,"($1,884)"
755301637,Administrative expenses ($000s),2017,"($1,923)"
755301637,Administrative expenses ($000s),2016,"($1,813)"
755301637,Administrative expenses ($000s),2015,"($1,021)"
755301637,Finance costs ($000s),2024,($202)
755301637,Finance costs ($000s),2023,$0
755301637,Finance costs ($000s),2022,($65)
755301637,Finance costs ($000s),2021,$0
755301637,Finance costs ($000s),2020,($13)
755301637,Finance costs ($000s),2019,($35)
755301637,Finance costs ($000s),2018,($179)
755301637,Finance costs ($000s),2017,($141)
755301637,Finance costs ($000s),2016,($18)
755301637,Finance costs ($000s),2015,($432)
755301637,Share of associate profits/(losses) ($000s),2024,
755301637,Share of associate profits/(losses) ($000s),2023,
755301637,Share of associate profits/(losses) ($000s),2022,
755301637,Share of associate profits/(losses) ($000s),2021,
755301637,Share of associate profits/(losses) ($000s),2020,-
755301637,Share of associate profits/(losses) ($000s),2019,-
755301637,Share of associate profits/(losses) ($000s),2018,-
755301637,Share of associate profits/(losses) ($000s),2017,-
755301637,Share of associate profits/(losses) ($000s),2016,-
755301637,Share of associate profits/(losses) ($000s),2015,-
755301637,Profit/(loss) from continuing operations before income tax ($000s),2024,($769)
755301637,Profit/(loss) from continuing operations before income tax ($000s),2023,$386
755301637,Profit/(loss) from continuing operations before income tax ($000s),2022,"($1,813)"
755301637,Profit/(loss) from continuing operations before income tax ($000s),2021,"($2,270)"
755301637,Profit/(loss) from continuing operations before income tax ($000s),2020,"($1,820)"
755301637,Profit/(loss) from continuing operations before income tax ($000s),2019,($35)
755301637,Profit/(loss) from continuing operations before income tax ($000s),2018,$366
755301637,Profit/(loss) from continuing operations before income tax ($000s),2017,($383)
755301637,Profit/(loss) from continuing operations before income tax ($000s),2016,"($1,312)"
755301637,Profit/(loss) from continuing operations before income tax ($000s),2015,"($2,719)"
755301637,Income tax expense ($000s),2024,$223
755301637,Income tax expense ($000s),2023,($121)
755301637,Income tax expense ($000s),2022,$544
755301637,Income tax expense ($000s),2021,$681
755301637,Income tax expense ($000s),2020,$547
755301637,Income tax expense ($000s),2019,($93)
755301637,Income tax expense ($000s),2018,($44)
755301637,Income tax expense ($000s),2017,$110
755301637,Income tax expense ($000s),2016,$315
755301637,Income tax expense ($000s),2015,$812
755301637,Profit from continuing operations after income tax ($000s),2024,($546)
755301637,Profit from continuing operations after income tax ($000s),2023,$265
755301637,Profit from continuing operations after income tax ($000s),2022,"($1,269)"
755301637,Profit from continuing operations after income tax ($000s),2021,"($1,589)"
755301637,Profit from continuing operations after income tax ($000s),2020,"($1,274)"
755301637,Profit from continuing operations after income tax ($000s),2019,($128)
755301637,Profit from continuing operations after income tax ($000s),2018,$322
755301637,Profit from continuing operations after income tax ($000s),2017,($273)
755301637,Profit from continuing operations after income tax ($000s),2016,($997)
755301637,Profit from continuing operations after income tax ($000s),2015,"($1,907)"
755301637,Profit/(loss) from discontinued operations after tax ($000s),2024,
755301637,Profit/(loss) from discontinued operations after tax ($000s),2023,
755301637,Profit/(loss) from discontinued operations after tax ($000s),2022,
755301637,Profit/(loss) from discontinued operations after tax ($000s),2021,
755301637,Profit/(loss) from discontinued operations after tax ($000s),2020,-
755301637,Profit/(loss) from discontinued operations after tax ($000s),2019,-
755301637,Profit/(loss) from discontinued operations after tax ($000s),2018,-
755301637,Profit/(loss) from discontinued operations after tax ($000s),2017,-
755301637,Profit/(loss) from discontinued operations after tax ($000s),2016,-
755301637,Profit/(loss) from discontinued operations after tax ($000s),2015,-
755301637,Profit/(loss) from restructuring activites after tax ($000s),2024,
755301637,Profit/(loss) from restructuring activites after tax ($000s),2023,
755301637,Profit/(loss) from restructuring activites after tax ($000s),2022,
755301637,Profit/(loss) from restructuring activites after tax ($000s),2021,
755301637,Profit/(loss) from restructuring activites after tax ($000s),2020,-
755301637,Profit/(loss) from restructuring activites after tax ($000s),2019,-
755301637,Profit/(loss) from restructuring activites after tax ($000s),2018,-
