duns,person_name,title,responsibilities
744341457,John Richard  George,Director,Director
744341457,Catherine Michelle  Miller,Director,Director
744341457,Phillip Dennis  Wooding,Company Secretary,Company Secretary
744341457,Patricia Ann  Warren,Company Secretary,Company Secretary
744341457,Matthew Benjamin  Amber,Managing Director,"IT Decision Maker,Managing Director,Marketing Decision Maker,Purchasing,Sales Decision Maker"
744341457,Allan Dalmore  Amber,Deputy Executive Chairman,Director
744341457,Paul Andrew  George,Director,Director
744341457,Heidi Lynette  Whitehead,Finance Director,Financial Decision Maker
744341457,Sylvia   Healy,Executive Manager - People & Performance,Human Resources Decision Maker
744341457,Philippa   Badger,Operations Manager,Operations Decision Maker
744341457,Rino   Parrella,"Branch Manager, SA",Operations Decision Maker
